Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	224.55724	380.78064	1402.4786	1.11750635e-11	434.78262	7.1311564	3.9598732	38.93492	1.1780695	280000	1.6391277e-07	130.63582	0.051386982	-3.6921692	0.08113506	0.27061585	0.4343	1.0	311.782865524292
28	215.60657	264.26166	757.7367	7.685044e-06	784.75	5.7442884	2.950822	32.71576	1.6507579	290000	-2.682209e-07	58.23387	-0.0033887327	-2.7072964	0.075562924	0.22323705	0.46429998	1.0	322.4437966346741
29	138.20868	223.41515	906.7202	2.0897673e-06	304.36365	5.410085	2.625047	28.270699	1.1621263	300000	0.0	140.48239	0.017769799	-4.937913	0.07375564	0.14666028	0.13620001	1.0	332.9642171859741
30	160.92976	222.26178	713.0843	7.560203e-07	430.13635	6.730651	4.704986	42.146206	1.7662108	310000	-2.9802322e-08	112.8853	0.009760022	-1.0327606	0.033562467	0.10573913	0.2157	1.0	343.53303122520447
31	178.9327	170.75801	515.01776	5.0831877e-06	400.0	6.342519	4.0410156	36.034504	1.6922876	320000	2.9802322e-08	116.82294	0.0051446557	-0.6404829	0.028110936	0.0943711	0.1609	1.0	354.1092457771301
32	193.16835	185.87538	548.9753	6.4722185e-06	669.4167	5.5341945	3.0831318	36.182514	2.1499557	330000	-2.9802322e-08	55.100822	-0.0055559054	-1.1276021	0.023758557	0.079970725	0.119100004	2.0	364.72926330566406
33	216.94386	303.1006	1005.58484	3.383394e-06	540.8333	5.5189667	2.8621907	24.463964	1.7333766	340000	1.937151e-07	106.19385	-0.0396374	-4.864704	0.031209825	0.08868606	0.20789999	7.0	375.4321448802948
34	131.08307	161.51447	550.5351	3.788205e-08	516.0	5.5319715	3.4862444	61.16041	1.8701601	350000	4.4703484e-08	42.076805	0.00015103817	-5.3785787	0.018500296	0.090585366	0.0858	3.0	386.2835326194763
35	129.84169	206.12152	917.53253	1.7226078e-07	303.0303	6.615471	4.7969685	44.67368	1.7226952	360000	-3.7252903e-08	122.837234	-0.019862875	-2.6834831	0.017990112	0.07665865	0.202	9.0	397.0495753288269
36	212.80861	242.88759	778.7024	1.0574486e-05	571.26666	4.9948173	3.045073	26.747484	1.298514	370000	0.0	74.83628	-0.028690636	-0.047346592	0.054158825	0.67146325	0.14930001	78.0	409.51057529449463
37	144.60748	201.37733	618.89746	1.2167911e-08	475.94446	4.977521	2.4547408	28.061567	1.5530384	380000	0.0	61.931816	-0.009017199	-0.2005105	0.042756893	2.3664455	0.0281	2.0	420.22935032844543
38	169.96198	241.68889	757.6727	6.929329e-11	434.4375	5.9224176	3.0794597	24.790714	1.1379359	390000	1.4901161e-08	96.01782	0.00019553304	-0.3436041	0.029705485	2.0403461	0.0055	1.0	431.357138633728
