,Name,Configs,Components,Time,Time/Step
0,std,5,3,22.041117906570435,0.0027551397383213045
1,std,5,5,22.97417998313904,0.0028717724978923804
2,std,5,10,23.15882658958435,0.002894853323698044
3,std,5,20,28.338960886001587,0.0035423701107501985
4,std,10,3,20.918208837509155,0.0026147761046886446
5,std,25,3,21.75344657897949,0.002719180822372436
6,std,50,3,19.42505669593811,0.0024281320869922636
7,std,100,3,22.00469660758972,0.0027505870759487153
