8	15	89.77	41.07
-	-	-	-
1	2.00	32.36	54.9439368348222
2	4.00	33.51	20.0579451749499
2	8.00	31.56	13.8220538548172
1	3.75	25.73	26.9986500674966
2	7.50	25.43	21.606914212548
4	15.00	24.74	12.094606701308
2	3.75	31.34	22.0696419813634
4	7.50	30.33	13.5896919669821
8	15.00	30.43	13.332016590954
3	6.00	33.51	37.5009410048861
3	10.00	32.36	34.3829953448197
2	5.75	32.36	40.9712934511594
3	9.50	32.36	38.2754255236851
5	17.00	32.36	33.5192717680651
3	5.75	32.36	38.5067894080928
5	9.50	32.36	34.2668144009022
4	17.00	32.36	34.1379767128881
4	12.00	33.51	16.9399995148835
3	7.75	33.51	23.5282976212232
4	11.50	33.51	20.8324296937489
6	19.00	33.51	16.0762759381289
4	7.75	33.51	21.0637935781566
6	11.50	33.51	16.823818570966
10	19.00	33.51	16.6949808829519
3	11.75	31.56	20.4103519611569
4	15.50	31.56	17.7144840336826
6	23.00	31.56	12.9583302780626
4	11.75	31.56	17.9458479180903
6	15.50	31.56	13.7058729108997
10	23.00	31.56	13.5770352228856
3	11.25	25.73	24.3027821400223
5	18.75	25.73	19.5466283844023
3	7.50	31.34	24.53414602443
5	11.25	30.33	20.2941710172394
9	18.75	30.43	20.1653333292253
6	22.50	25.43	16.850760456928
4	11.25	31.34	21.8382780969557
6	15.00	30.33	17.5983030897651
10	22.50	30.43	17.469465401751
6	18.75	31.34	21.606914212548
8	22.50	30.33	21.606914212548
12	30.00	30.43	21.606914212548
6	11.25	31.34	17.8296669741727
6	18.75	31.34	17.7008292861587
12	22.50	30.43	22.0696419813634
5	14.00	33.51	29.6079786215298
4	9.75	33.51	34.0001773590896
5	13.50	33.51	32.2029320741067
7	21.00	33.51	29.0321629036934
5	9.75	33.51	32.3571746637118
7	13.50	33.51	29.5305246589181
11	21.00	33.51	29.4446328669087
5	15.75	33.51	20.2928830324212
6	19.50	33.51	18.4956377474384
8	27.00	33.51	15.324868577025
6	15.75	33.51	18.6498803370435
8	19.50	33.51	15.8232303322497
12	27.00	33.51	15.7373385402404
5	19.25	31.56	20.809206044954
7	26.75	31.56	17.6384368745406
5	15.50	31.56	20.9634486345591
7	19.25	31.56	18.1367986297653
11	26.75	31.56	18.0509068377559
7	26.25	25.73	20.2333903271175
5	15.00	31.34	23.558402087136
7	18.75	30.33	20.7317520823422
11	26.25	30.43	20.6458602903329
8	26.25	31.34	18.5903876317398
10	30.00	30.33	15.763737626946
14	37.50	30.43	15.6778458349367
10	26.25	31.34	15.9179802165512
14	33.75	31.34	15.8320884245418
14	26.25	31.34	16.3304501797665
6	17.75	33.51	28.9556464830215
7	21.50	33.51	27.6077125192843
9	29.00	33.51	25.2296356414743
7	17.75	33.51	27.7233944614882
9	21.50	33.51	25.6034069578929
13	29.00	33.51	25.5389881138858
7	23.25	33.51	20.6213908274529
9	30.75	33.51	18.2433139496429
7	19.50	33.51	20.7370727696568
9	23.25	33.51	18.6170852660615
13	30.75	33.51	18.5526664220544
9	34.25	31.56	18.6305562090425
7	23.00	31.56	21.1243150290563
9	26.75	31.56	19.004327525461
13	34.25	31.56	18.939908681454
9	30.00	31.34	20.692453240679
11	33.75	30.33	18.5724657370837
15	41.25	30.43	18.5080468930767
12	33.75	31.34	17.3402137155504
16	41.25	31.34	17.2757948715434
18	41.25	31.34	15.2714893101519
-	-	-	-
3	6	180.807	69.9825043739065
4	8	173.54	64.8148148148148
4	16	182.5	63.5497049477985
3	11.25	157.744	98.1767180925666
4	15	176.007	55.5996822875298
8	30	225.125	58.0752212389381
4	7.5	176.74	93.4163701067616
4	7.5	179.078	75.8944705457174
8	15	264.004	42.5273390036452
7	14	180.807	67.3986595943607
7	22	182.5	66.7661046608525
6	17.25	180.807	84.0796112332366
7	21	180.807	62.7910933307182
11	36	225.125	64.0288628064223
7	13.5	180.807	81.6994372403341
7	13.5	180.807	72.938487459812
8	21	264.004	56.2549216887759
8	24	182.5	64.1822598813066
7	19.25	173.54	81.4957664536907
8	23	176.007	60.2072485511723
12	38	225.125	61.4450180268764
8	15.5	176.74	79.1155924607882
8	15.5	179.078	70.3546426802661
12	23	264.004	53.67107690923
7	27.25	182.5	80.8632115201825
8	31	182.5	59.5746936176641
12	46	225.125	60.8124630933683
8	23.5	182.5	78.48303752728
8	23.5	182.5	69.7220877467579
12	31	264.004	53.0385219757218
7	26.25	176.007	76.8882001900482
11	41.25	225.125	78.1259696657523
7	18.75	176.74	95.7965440996641
7	18.75	179.078	87.035594319142
11	26.25	264.004	70.3520285481059
12	45	225.125	56.8374517632339
8	22.5	176.74	74.5080261971457
8	22.5	179.078	65.7470764166236
12	30	264.004	49.0635106455875
12	37.5	225.125	55.5996822875298
12	37.5	225.125	55.5996822875298
16	45	264.004	55.5996822875298
8	15	179.078	84.6554203262395
8	22.5	264.004	67.9718545552034
12	22.5	264.004	59.2109047746813
11	30	182.5	66.1156747121733
10	25.25	180.807	77.658012427096
11	29	180.807	63.4656671587504
15	44	225.125	64.2908468092198
11	21.5	180.807	76.071229765161
11	21.5	180.807	70.2305965781463
15	29	264.004	59.1082193974555
11	35.25	182.5	75.5137459517266
12	39	182.5	61.321400683381
16	54	225.125	62.1465803338504
12	31.5	182.5	73.9269632897916
12	31.5	182.5	68.0863301027769
16	39	264.004	56.9639529220862
11	42.25	182.5	72.4420351092983
15	57.25	225.125	73.2672147597677
11	34.75	182.5	85.0475977157089
11	34.75	182.5	79.2069645286941
15	42.25	264.004	68.0845873480034
15	56.25	225.125	70.6172072063448
