time_upper,rate
2.0,0.3115
4.0,0.2965
6.0,0.3038
8.0,0.3147
10.0,0.3025
12.0,0.3129
14.0,0.2777
16.0,0.2788
18.0,0.276
20.0,0.3024
22.0,0.2711
24.0,0.2573
26.0,0.3058
28.0,0.255
30.0,0.2319
32.0,0.298
34.0,0.342
36.0,0.2268
38.0,0.2346
40.0,0.2324
42.0,0.2889
44.0,0.2139
46.0,0.2255
48.0,0.2171
50.0,0.2218
52.0,0.2738
54.0,0.2626
56.0,0.2219
58.0,0.2205
60.0,0.2298
62.0,0.3076
64.0,0.229
66.0,0.2332
68.0,0.2155
70.0,0.2123
72.0,0.2296
74.0,0.2083
76.0,0.2244
78.0,0.2236
80.0,0.2053
82.0,0.239
84.0,0.2178
86.0,0.2496
88.0,0.2217
90.0,0.2285
92.0,0.2318
94.0,0.211
96.0,0.3019
98.0,0.2168
100.0,0.2158
102.0,0.219
104.0,0.2161
106.0,0.2254
108.0,0.2935
110.0,0.37
112.0,0.4636
114.0,0.5167
116.0,0.5867
118.0,0.6331
120.0,0.767
122.0,0.7915
124.0,1.0
126.0,0.6324
128.0,0.2714
130.0,0.2573
132.0,0.2427
134.0,0.2139
136.0,0.2123
138.0,0.2121
140.0,0.2131
142.0,0.2348
144.0,0.2638
146.0,0.1983
148.0,0.1878
150.0,0.2254
152.0,0.297
154.0,0.2013
156.0,0.259
158.0,0.1958
160.0,0.2388
162.0,0.2192
164.0,0.2344
166.0,0.2585
168.0,0.3054
170.0,0.2907
172.0,0.2612
174.0,0.1906
176.0,0.1987
178.0,0.2636
180.0,0.2195
182.0,0.2431
184.0,0.2209
186.0,0.2045
188.0,0.2409
190.0,0.191
192.0,0.2274
194.0,0.3743
196.0,0.333
198.0,0.2229
200.0,0.2731
202.0,0.3157
204.0,0.2518
206.0,0.2107
208.0,0.2242
210.0,0.1937
212.0,0.2655
214.0,0.2024
216.0,0.1993
218.0,0.2467
220.0,0.2008
222.0,0.2128
224.0,0.1929
226.0,0.2016
228.0,0.1972
230.0,0.1855
232.0,0.2499
234.0,0.2179
236.0,0.1823
238.0,0.1685
240.0,0.1732
242.0,0.2322
244.0,0.2277
246.0,0.2271
248.0,0.2544
250.0,0.2286
252.0,0.2172
254.0,0.2083
256.0,0.2128
258.0,0.1868
260.0,0.1923
262.0,0.1951
264.0,0.1909
266.0,0.1907
268.0,0.1844
270.0,0.1816
272.0,0.1973
274.0,0.1813
276.0,0.1845
278.0,0.1919
280.0,0.1874
282.0,0.2114
284.0,0.2229
286.0,0.2111
288.0,0.1878
290.0,0.193
292.0,0.2024
294.0,0.1919
296.0,0.2103
298.0,0.1969
300.0,0.1946
302.0,0.2668
304.0,0.2146
306.0,0.2072
308.0,0.2361
310.0,0.2546
312.0,0.4872
314.0,0.4437
316.0,0.2317
318.0,0.2287
320.0,0.2543
322.0,0.3396
324.0,0.3617
326.0,0.3691
328.0,0.3666
330.0,0.4269
332.0,0.4007
334.0,0.3459
336.0,0.3069
338.0,0.33
340.0,0.4297
342.0,0.3761
344.0,0.3472
346.0,0.2433
348.0,0.2484
350.0,0.2601
352.0,0.2591
354.0,0.2353
356.0,0.2388
358.0,0.1904
360.0,0.2078
362.0,0.249
364.0,0.3275
366.0,0.3854
368.0,0.3173
370.0,0.2402
372.0,0.257
374.0,0.2998
