time_upper,rate
2.0,0.4784
4.0,0.4849
6.0,0.4628
8.0,0.4575
10.0,0.4612
12.0,0.4898
14.0,0.4876
16.0,0.4408
18.0,0.4322
20.0,0.4104
22.0,0.4175
24.0,0.4259
26.0,0.417
28.0,0.437
30.0,0.4275
32.0,0.4355
34.0,0.4305
36.0,0.4204
38.0,0.4314
40.0,0.4201
42.0,0.4366
44.0,0.4347
46.0,0.4312
48.0,0.4372
50.0,0.4296
52.0,0.4525
54.0,0.4455
56.0,0.4422
58.0,0.4421
60.0,0.4354
62.0,0.4422
64.0,0.4303
66.0,0.4347
68.0,0.4438
70.0,0.4449
72.0,0.4492
74.0,0.4519
76.0,0.4352
78.0,0.4426
80.0,0.4324
82.0,0.4588
84.0,0.4535
86.0,0.432
88.0,0.4579
90.0,0.4498
92.0,0.4445
94.0,0.4407
96.0,0.4398
98.0,0.4581
100.0,0.4406
102.0,0.4394
104.0,0.4503
106.0,0.4211
108.0,0.4491
110.0,0.4471
112.0,0.4381
114.0,0.4444
116.0,0.4487
118.0,0.456
120.0,0.4632
122.0,0.465
124.0,0.4505
126.0,0.4512
128.0,0.4534
130.0,0.4494
132.0,0.4669
134.0,0.4549
136.0,0.448
138.0,0.4723
140.0,0.4678
142.0,0.4471
144.0,0.4465
146.0,0.4486
148.0,0.4601
150.0,0.4382
152.0,0.4212
154.0,0.4344
156.0,0.4295
158.0,0.4414
160.0,0.4337
162.0,0.4449
164.0,0.4358
166.0,0.4053
168.0,0.4411
170.0,0.4483
172.0,0.4581
174.0,0.4519
176.0,0.4517
178.0,0.461
180.0,0.4543
182.0,0.4834
184.0,0.4713
186.0,0.4637
188.0,0.4721
190.0,0.4529
192.0,0.4695
194.0,0.4735
196.0,0.4637
198.0,0.4827
200.0,0.4646
202.0,0.4779
204.0,0.473
206.0,0.4759
208.0,0.4702
210.0,0.4635
212.0,0.4597
214.0,0.458
216.0,0.4627
218.0,0.4827
220.0,0.4975
222.0,0.4915
224.0,0.4879
226.0,0.4677
228.0,0.4712
230.0,0.4688
232.0,0.4765
234.0,0.4867
236.0,0.4716
238.0,0.4868
240.0,0.4765
242.0,0.4926
244.0,0.5008
246.0,0.4865
248.0,0.5074
250.0,0.4943
252.0,0.4973
254.0,0.4978
256.0,0.4958
258.0,0.4821
260.0,0.4933
262.0,0.4921
264.0,0.5011
266.0,0.491
268.0,0.4835
270.0,0.4917
272.0,0.4659
274.0,0.4828
276.0,0.4826
278.0,0.4961
280.0,0.5142
282.0,0.5021
284.0,0.5129
286.0,0.5028
288.0,0.4888
290.0,0.4926
292.0,0.4975
294.0,0.4996
296.0,0.5002
298.0,0.5065
300.0,0.4998
302.0,0.5273
304.0,0.5339
306.0,0.5227
308.0,0.511
310.0,0.5233
312.0,0.5187
314.0,0.522
316.0,0.523
318.0,0.5214
320.0,0.5196
322.0,0.5157
324.0,0.5218
326.0,0.5013
328.0,0.5162
330.0,0.5234
332.0,0.4885
334.0,0.4833
336.0,0.4842
338.0,0.506
340.0,0.4916
342.0,0.5031
344.0,0.5165
346.0,0.5058
348.0,0.5049
350.0,0.5013
352.0,0.5004
354.0,0.5069
356.0,0.5147
358.0,0.4983
360.0,0.5112
362.0,0.5411
364.0,0.5453
366.0,0.5283
368.0,0.5548
370.0,0.5418
372.0,0.5526
374.0,0.5714
376.0,0.5434
378.0,0.5691
380.0,0.5555
382.0,0.5651
384.0,0.571
386.0,0.5371
388.0,0.5527
390.0,0.5349
392.0,0.5321
394.0,0.5521
396.0,0.5621
398.0,0.5568
400.0,0.5736
402.0,0.5601
404.0,0.5655
406.0,0.5556
408.0,0.5743
410.0,0.5731
412.0,0.5571
414.0,0.5656
416.0,0.5875
418.0,0.587
420.0,0.5801
422.0,0.5735
424.0,0.5801
426.0,0.585
428.0,0.573
430.0,0.5624
432.0,0.5649
434.0,0.5818
436.0,0.5676
438.0,0.5733
440.0,0.558
442.0,0.5461
444.0,0.5551
446.0,0.5473
448.0,0.5365
450.0,0.5271
452.0,0.5171
454.0,0.5056
456.0,0.5277
458.0,0.5316
460.0,0.5316
462.0,0.5315
464.0,0.5517
466.0,0.5691
468.0,0.5382
470.0,0.5348
472.0,0.5424
474.0,0.5375
476.0,0.5271
478.0,0.5433
480.0,0.539
482.0,0.5393
484.0,0.5584
486.0,0.5283
488.0,0.5547
490.0,0.5475
492.0,0.556
494.0,0.5477
496.0,0.5427
498.0,0.5444
500.0,0.5275
502.0,0.5367
504.0,0.5434
506.0,0.5275
508.0,0.5296
510.0,0.4942
512.0,0.4978
514.0,0.5304
516.0,0.5286
518.0,0.5382
520.0,0.5354
522.0,0.52
524.0,0.5197
526.0,0.5171
528.0,0.515
530.0,0.5215
532.0,0.5389
534.0,0.5446
536.0,0.5242
538.0,0.5312
540.0,0.5374
542.0,0.5712
544.0,0.547
546.0,0.5377
548.0,0.5635
550.0,0.5458
552.0,0.5526
554.0,0.5596
556.0,0.5619
558.0,0.5637
560.0,0.5551
562.0,0.5609
564.0,0.5615
566.0,0.5373
568.0,0.547
570.0,0.537
572.0,0.5254
574.0,0.5356
576.0,0.5306
578.0,0.5454
580.0,0.559
582.0,0.5434
584.0,0.5585
586.0,0.5405
588.0,0.5429
590.0,0.5379
592.0,0.5677
594.0,0.562
596.0,0.5579
598.0,0.548
600.0,0.5546
602.0,0.553
604.0,0.5702
606.0,0.5589
608.0,0.562
610.0,0.5525
612.0,0.5554
614.0,0.5681
616.0,0.5651
618.0,0.5669
620.0,0.562
622.0,0.5656
624.0,0.5611
626.0,0.5541
628.0,0.566
630.0,0.5617
632.0,0.5486
634.0,0.5643
636.0,0.5626
638.0,0.5666
640.0,0.5607
642.0,0.5813
644.0,0.5846
646.0,0.5712
648.0,0.5864
650.0,0.5711
652.0,0.5791
654.0,0.5871
656.0,0.5819
658.0,0.5894
660.0,0.5958
662.0,0.5803
664.0,0.5802
666.0,0.5739
668.0,0.5889
670.0,0.584
672.0,0.5938
674.0,0.5953
676.0,0.5857
678.0,0.5948
680.0,0.5737
682.0,0.5707
684.0,0.5938
686.0,0.572
688.0,0.5814
690.0,0.5719
692.0,0.5329
694.0,0.5625
696.0,0.5501
698.0,0.5567
700.0,0.5516
702.0,0.5788
704.0,0.5686
706.0,0.5476
708.0,0.5686
710.0,0.5623
712.0,0.5623
714.0,0.5582
716.0,0.5814
718.0,0.5758
720.0,0.5925
722.0,0.5932
724.0,0.6003
726.0,0.588
728.0,0.6066
730.0,0.6105
732.0,0.6145
734.0,0.6261
736.0,0.6068
738.0,0.6095
740.0,0.6089
742.0,0.5943
744.0,0.6181
746.0,0.5975
748.0,0.5977
750.0,0.559
752.0,0.5889
754.0,0.5978
756.0,0.598
758.0,0.6046
760.0,0.6309
762.0,0.6067
764.0,0.6324
