Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
24	1000.6618	988.1007	3803.9792	0.0	417.53845	373.3628	1440.0	20.0	46.234905	5.451995	61.25831	20.381235	250000	-1.4901161e-08	137.46777	-0.0064041894	-3.2107925	1.1588936	0.018610772	0.047	79.0	315.17209219932556
25	1290.9353	663.02295	2398.933	56.959934	525.8571	254.52193	896.0	19.0	48.519054	5.2649136	52.463802	10.122889	260000	-1.4901161e-08	97.73175	-0.0064357817	-2.8735962	1.1483741	0.0058447905	0.0306	79.0	327.9943108558655
26	1260.5599	1149.7942	3724.2983	137.8937	512.4286	470.32767	1440.0	46.0	48.554367	5.087469	53.25213	19.756899	270000	-1.4901161e-08	99.02949	-0.010217263	-4.2581606	1.1398854	0.022972822	0.1227	79.0	340.75824069976807
27	1536.2295	1053.5858	3732.363	47.966084	625.0	403.65222	1440.0	16.0	48.339962	4.2431664	55.529037	20.653278	280000	0.0	94.349014	-0.0073918835	-8.617724	1.1283675	0.015697388	0.0675	79.0	353.54487776756287
28	1394.3439	971.4817	3764.2783	332.27945	559.93335	415.17313	1440.0	114.0	47.09769	4.3421674	53.240448	26.044792	290000	-7.450581e-09	135.872	-0.008658749	-13.87965	1.0678959	0.014065666	0.0808	79.0	366.1710388660431
29	1614.192	1285.1394	3610.3687	43.001347	680.7857	500.56656	1440.0	101.0	9089.974	904070.7	90411630.0	19.290657	300000	1.6298145e-09	817425000000.0	-0.00049737573	-817425000000.0	1.0222278	-0.023892442	0.2333	79.0	378.8106496334076
30	845.53754	680.68933	2226.3794	56.954044	375.125	295.3982	1003.0	19.0	2.8322957	0.5345098	13.124293	2.8039799	310000	2.0116568e-07	1886.3427	-0.003884323	-666.48236	1.7781682	0.008917614	0.0	79.0	391.4729301929474
31	1176.8496	1072.1879	3346.5754	0.0	500.0	451.46918	1440.0	19.0	12.481206	2.8882143	77.78684	12.351927	320000	-1.0430813e-07	1272.1858	-0.0034879781	-760.39606	1.7541559	0.0028119078	0.16620001	79.0	404.09614396095276
32	635.92114	584.3123	2375.0305	2.3682603e-09	353.33334	273.6482	977.0	18.0	27.627613	5.1632414	122.052956	27.339754	330000	-1.1175871e-08	562.2742	-0.006817283	-64.317154	1.751457	0.008086801	0.0027	79.0	416.719491481781
33	595.8038	435.1727	1534.4111	4.9620253e-30	294.5	246.75327	793.0	19.0	32.057667	0.36580122	35.16592	21.677952	340000	-3.7252903e-08	443.0736	-0.0068447664	-63.646713	1.7169448	0.00585699	0.0005	79.0	429.42721724510193
34	979.2204	844.7078	3239.6575	1.4599003e-11	495.8125	372.53125	1440.0	18.0	38.016327	0.120137565	41.63285	38.011745	350000	-7.450581e-09	339.11215	-0.0043727537	-6.925499	1.6618135	0.0015730169	0.1086	79.0	442.1136407852173
35	1107.1552	965.691	3170.8862	7.8153e-06	476.1905	430.399	1440.0	14.0	40.198086	0.25346678	40.20959	33.885548	360000	-2.9802322e-08	188.61838	-0.0025937434	-23.367357	1.5766366	0.0072370013	0.00059999997	79.0	454.88526248931885
