Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
25	689.8229	550.98157	1874.8162	53.972897	407.75	276.52393	1056.0	18.0	34.948963	9.8803005	73.37796	7.3340435	260000	1.4901161e-08	199.03082	-0.042030662	8191.764	0.38476145	0.036637068	0.1269	79.0	284.82052421569824
26	506.4215	389.56375	1723.0751	19.65433	432.4762	326.5073	1011.0	11.0	-137.9595	389.4115	49.071453	-3568.1174	270000	-3.7252903e-09	169996.02	-0.04226317	-169659.16	0.513681	0.2169106	0.41730002	2.0	295.3204667568207
27	430.4065	334.49597	1339.6558	3.327023e-23	370.37036	316.35544	1380.0	19.0	12.952503	35.66215	52.937458	-314.24255	280000	1.1175871e-08	841.9673	-0.021155532	-656.8992	0.4723103	0.21868928	0.4194	1.0	305.79936814308167
28	454.32697	332.55835	1029.4147	1.1803639e-17	540.4706	407.96194	1151.0	19.0	17.150133	22.648188	52.00591	-186.11766	290000	-1.8626451e-09	302.73663	0.011275195	-105.31711	0.315901	0.13524269	0.2433	1.0	316.2957720756531
29	798.228	689.3642	2541.9734	211.28687	647.25	356.14163	1440.0	204.0	24.765535	10.993149	48.681416	6.0559607	300000	7.450581e-09	168.9278	-0.06610612	11491.002	0.386108	-0.057004984	0.23900001	79.0	328.71840381622314
30	360.61197	351.5723	1358.632	1.4343497e-26	309.96875	322.48987	1336.0	4.0	-86.89166	309.07727	48.413017	-2369.1807	310000	1.8626451e-09	102670.41	-0.02384996	-58368.344	0.34121048	0.10500751	0.115600005	2.0	339.19987511634827
31	190.66675	134.34518	436.3055	19.786013	666.6667	396.5114	1326.0	51.0	-116.272224	194.72116	43.32141	-1692.4	320000	3.5390258e-08	51195.152	-0.010722509	-50772.562	0.07440132	0.08201796	0.1012	4.0	349.7893862724304
32	649.39276	570.7479	2077.5083	3.5055795e-08	576.4667	476.32803	1440.0	15.0	26.568447	9.094433	51.39681	7.7854733	330000	1.3038516e-08	322.30322	-0.04981625	345.30975	0.11175556	-0.13574381	0.2709	79.0	362.1723313331604
33	487.60208	301.9463	1225.654	85.67097	454.1579	407.4664	1440.0	78.0	13.93245	23.167131	45.019337	-218.8842	340000	-2.2351742e-08	249.20053	-0.0127048455	-120.56238	0.2291052	0.14140245	0.23189999	2.0	372.54855465888977
34	323.49835	428.53674	1516.9548	2.965518e-21	310.15384	345.9176	1081.0	6.0	21.146254	15.997838	47.35474	-80.13406	350000	7.450581e-09	218.2641	-0.00039533805	-10.934906	0.14507148	0.12595066	0.2343	2.0	383.049635887146
35	214.58174	253.98404	890.09436	7.2271953	666.6667	479.42615	1440.0	14.0	12.0866375	11.382085	46.48539	-47.352863	360000	1.9557774e-08	139.43904	-0.03026465	-4.387474	0.05266518	-0.02996577	0.085	79.0	395.53600239753723
36	520.9376	718.8672	2772.9048	31.97688	361.0	387.18704	1440.0	19.0	22.146456	13.138021	47.377594	-4.57982	370000	0.0	136.85327	-0.062077925	316.17917	0.19056335	-0.08990304	0.2152	79.0	407.9294276237488
37	582.67615	497.5426	1697.9653	96.92438	490.6	224.0782	854.0	102.0	23.125134	8.206396	65.17726	10.280064	380000	7.450581e-09	240.77092	-0.065565564	2048.373	0.21287395	-0.118920766	0.37339997	79.0	420.3260712623596
38	482.24667	327.6706	1442.3049	50.813465	438.5263	235.08507	956.0	51.0	24.150776	12.059967	199.70618	6.163766	390000	5.9604645e-08	478.92865	-0.08499584	-270.95917	0.23985279	-0.17564541	0.49650002	79.0	432.70800518989563
39	619.2384	589.7978	2214.5994	144.85492	625.0	463.99866	1440.0	112.0	12.74192	12.585396	37.517727	-23.958147	400000	2.9802322e-08	164.0253	-0.034061216	-10.5338	0.27974123	0.1265696	0.1486	2.0	443.17053508758545
40	845.2792	733.59863	2719.3557	172.31294	513.8333	401.00504	1440.0	140.0	21.880512	9.359274	41.101967	-11.965554	410000	-4.284084e-08	237.6395	-0.05144544	-27.471352	0.29969358	0.30827	0.5255	1.0	453.7063226699829
41	425.83786	477.49612	2127.203	7.424099e-20	335.41666	347.89017	1440.0	17.0	18.433676	14.238869	42.601673	-102.089874	420000	-3.3527613e-08	198.17206	-0.020631637	-21.450472	0.15396883	0.3818509	0.5878	1.0	464.1558105945587
42	680.8355	382.28714	1204.9648	53.846584	564.3333	416.08215	1382.0	18.0	19.953272	9.058414	38.668346	-22.652021	430000	1.4901161e-08	90.450905	0.020486727	-2.5058384	0.19826284	0.163825	0.1671	1.0	474.65427017211914
43	580.21594	574.26117	2532.4937	43.046722	344.82758	330.66327	1440.0	30.0	24.567827	10.253031	44.20621	-12.057911	440000	0.0	187.17398	-0.02607037	-15.651966	0.16337483	0.23223604	0.251	1.0	485.09632301330566
44	443.86548	387.40393	1480.8695	48.519043	501.05264	377.07187	1260.0	37.0	21.131166	8.78962	38.041317	-12.229261	450000	3.7252903e-08	159.54916	-0.039719477	10.648479	0.05460014	0.13396019	0.1578	1.0	495.62830781936646
45	687.3102	637.4534	2619.4587	53.839	377.38095	303.91766	1250.0	19.0	27.191635	9.395433	45.280575	4.1924634	460000	0.0	204.83856	-0.028345618	-22.158646	0.19283514	0.083891764	0.023	1.0	506.1280996799469
46	642.8691	409.1135	1425.5618	36.793453	382.26086	218.23187	757.0	51.0	26.472672	11.551487	47.333935	-15.322666	470000	-2.7939677e-08	147.21353	-0.023774613	-10.310223	0.12773435	0.1998648	0.21210001	1.0	516.6235067844391
47	597.19904	565.3832	2337.8018	63.824375	500.0	409.17783	1440.0	112.0	21.12162	12.051833	48.086372	-8.915909	480000	-2.0489097e-08	92.507706	-0.018208655	-3.2934837	0.10684892	0.14649278	0.0975	1.0	527.0512583255768
