Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
24	350.1483	646.294	1917.3868	3.26e-38	634.3571	382.262	1440.0	142.0	11.483191	6.295324	46.50299	-0.24415606	250000	-8.940697e-08	165.49097	0.006177053	-3.4159527	0.85175586	0.13971704	0.32520002	1.0	268.73657751083374
25	530.6905	750.23737	2591.47	1.44e-37	766.0	498.3095	1440.0	19.0	12.17044	6.300208	30.340267	-0.24373	260000	2.9802322e-08	232.26859	-0.0016265213	-2.7668457	0.8180598	0.13200888	0.21599999	1.0	279.0914750099182
26	447.03323	803.72485	2214.5251	3.03e-38	734.75	450.81427	1440.0	19.0	11.006725	5.7187166	31.337593	-0.24038662	270000	0.0	219.77403	-0.0013676137	-4.0655136	0.88234395	0.15773024	0.2158	1.0	289.5146851539612
27	372.92844	739.8734	2554.1577	7.9e-39	625.0	493.08023	1440.0	79.0	12.666933	6.5420003	42.234795	-0.2383886	280000	1.4901161e-07	220.60245	0.00896363	-1.2710152	0.87423706	0.21044475	0.6813	1.0	299.89708614349365
28	334.2916	571.3184	1965.4042	4.4e-39	455.05884	369.10025	1440.0	44.0	10.927772	6.4198427	33.70522	-0.23781615	290000	-1.1920929e-07	207.05777	0.022359863	-3.206913	0.9389595	0.23791577	0.6559	1.0	310.314190864563
29	396.1601	658.3122	2290.1777	8.04e-38	523.4	422.92706	1420.0	19.0	11.719802	6.8204513	33.38618	-0.23323667	300000	-1.4901161e-08	191.04697	-0.0068597794	-14.427044	0.8359703	0.10240621	0.1689	1.0	320.7096018791199
30	210.08766	328.57095	1136.8073	9.1e-39	334.0	220.49469	780.0	18.0	10.154632	8.023625	35.91016	-0.23265755	310000	2.682209e-07	132.05429	-0.0117479265	-10.226398	0.90896064	0.080143735	0.2083	1.0	331.1393828392029
31	306.4676	481.3056	1577.3738	1.9e-39	476.1905	324.89832	1035.0	19.0	12.732325	10.746796	41.498707	-0.23402613	320000	3.5762787e-07	149.7591	-0.003397867	-3.8060322	0.77967006	0.1320292	0.2194	1.0	341.4811463356018
32	254.189	461.00494	1696.663	3.04e-38	445.05	406.94193	1440.0	19.0	14.822108	11.364167	41.399574	-0.23429659	330000	3.7252903e-07	275.46594	0.09450078	-79.0188	0.69501984	378.2799	0.9078	1.0	351.83217883110046
33	146.6392	304.12674	1389.4628	1.9e-39	368.43478	362.6874	1440.0	10.0	6.6436553	5.3005548	24.440489	-0.18529262	340000	-8.940697e-08	112.47855	0.090766124	-4.0651093	0.59382516	0.58312273	0.672	1.0	362.18479180336
34	213.54523	347.95752	1086.3992	1.62e-38	534.625	422.87082	1264.0	51.0	5.1311736	3.8132427	23.322495	0.741242	350000	-1.3411045e-07	102.78626	0.09310161	-8.612928	0.67681617	0.36092287	0.6036	1.0	372.6708011627197
35	181.1299	214.37708	623.5585	2.4e-38	476.1905	322.3083	1384.0	109.0	7.1547585	3.938341	31.705336	2.9560907	360000	-5.9604645e-08	68.75583	0.043248154	-1.1689177	0.5927363	0.36348242	0.6327	1.0	383.15396904945374
36	180.40909	194.51932	570.4798	1.9e-39	451.33334	286.52884	1107.0	19.0	7.096158	4.341874	27.876053	2.554124	370000	4.172325e-07	77.82306	0.05205728	-4.196739	0.6141866	0.47770083	0.7049	1.0	393.52705574035645
37	146.60225	225.93599	843.68384	2.34e-38	483.25	267.6844	954.0	142.0	5.7995963	3.58852	28.803091	1.898601	380000	-2.2351742e-07	69.994995	0.031280816	-10.589627	0.5632565	0.5450639	0.7043	1.0	403.9024398326874
38	142.6224	205.66919	769.3782	5.2e-39	523.35297	366.93884	1253.0	52.0	4.0615416	2.327994	22.208134	-0.15577999	390000	1.4901161e-07	49.77899	0.07312857	-1.8530731	0.4491595	0.4843724	0.5257	1.0	414.25217270851135
39	201.1134	327.57468	1187.1996	3.02e-38	588.2353	378.33234	1440.0	209.0	5.071364	2.1109133	12.052235	2.499683	400000	1.6391277e-07	78.50282	0.112822615	-5.19111	0.4308939	0.41288573	0.4612	1.0	424.6810829639435
40	91.78881	176.35202	795.7106	3e-40	330.36365	353.8018	1110.0	3.0	6.393532	2.865681	30.466343	3.3251994	410000	1.4901161e-07	48.138348	0.056906573	68.75261	0.30689472	0.3602924	0.38	1.0	434.96919083595276
41	218.70247	424.3585	1511.4753	4.04e-38	450.25	335.30258	1296.0	22.0	16.601444	8.13775	33.259747	4.8251467	420000	-1.1324883e-06	213.68219	0.12444294	-17.61729	0.34724474	0.6015787	0.5895	1.0	445.4168198108673
42	119.945694	226.63467	1045.8577	5.1e-39	315.0	271.5304	920.0	19.0	8.915013	4.076543	30.179457	4.427424	430000	5.9604645e-08	82.24094	0.021266498	-5.608632	0.50104356	0.3065647	0.3814	1.0	455.7387328147888
43	254.80951	550.10114	2259.1594	1.9e-39	588.2353	473.4342	1440.0	19.0	7.806905	3.7862527	25.867071	3.4685059	440000	-3.1292439e-07	105.92965	0.09448933	-15.536891	0.4148487	0.2420062	0.374	1.0	466.13302302360535
44	213.35753	423.84985	1903.8352	1.35e-38	439.89474	414.79352	1440.0	19.0	9.247146	5.2153397	28.82483	4.2660465	450000	-5.9604645e-08	84.43614	0.04309243	-4.8737965	0.36719257	0.21027684	0.3494	1.0	476.5626449584961
45	143.73463	184.70314	615.5894	3.82e-38	550.13336	424.765	1440.0	19.0	8.250335	5.2954445	34.631786	3.83498	460000	6.482005e-07	82.50423	-0.013047524	-28.599808	0.3218263	0.2912845	0.33459997	1.0	486.89673686027527
46	200.59866	326.39987	1183.8279	6.23e-38	624.8571	432.1501	1440.0	19.0	4.460986	2.3663259	19.633162	2.0309494	470000	-8.195639e-08	76.73435	0.023542061	-5.4821305	0.34363878	0.2802189	0.3175	1.0	497.3371524810791
47	159.76807	334.9384	1288.0239	1.8e-38	454.54544	440.7874	1440.0	26.0	5.329514	1.9670814	16.646511	2.5670576	480000	-1.4901161e-07	64.483986	0.0206417	-2.0425773	0.28488028	0.27890477	0.2967	1.0	507.70267128944397
48	126.09459	217.81639	819.0407	2.5e-38	471.83334	348.02112	1440.0	53.0	5.4159756	1.1193715	14.334746	3.0471091	490000	-2.9802322e-08	33.870186	0.01732783	-0.6043587	0.19475749	0.23406717	0.2547	1.0	518.039705991745
49	250.58635	345.22534	1288.0261	3.55e-38	661.75	436.54556	1440.0	114.0	5.354636	1.671632	15.976917	2.8344696	500000	-5.066395e-07	53.215508	0.070502356	-8.520241	0.16867343	0.20837566	0.2558	1.0	528.3374671936035
50	112.85669	186.0088	632.5045	1.28e-38	595.86664	488.8218	1440.0	19.0	6.5050163	1.3247046	33.83081	3.737968	510000	-1.4901161e-08	27.201004	0.017594263	-6.240482	0.16109514	0.19968095	0.2372	1.0	538.679829120636
51	123.95068	178.95895	629.9298	4.95e-38	526.3158	434.62277	1440.0	42.0	4.3617625	1.0890012	23.618546	2.589392	520000	5.9604645e-08	26.54834	0.028500736	-0.9916291	0.16182257	0.2033701	0.23020001	1.0	549.0559279918671
52	114.07809	194.2374	812.2794	2.25e-38	452.42105	397.51907	1440.0	18.0	4.1679506	0.47196513	22.25222	2.2937868	530000	-7.4505806e-08	28.746775	0.03647545	-0.7249899	0.09042026	0.18533283	0.2181	1.0	559.5302426815033
53	154.7644	166.82657	428.82364	3.8e-39	529.8	327.79227	1313.0	38.0	5.0208936	0.54438823	23.280804	2.5450878	540000	2.9802322e-08	28.450012	0.030704662	-0.37083626	0.1066808	0.16644235	0.2235	1.0	569.8610551357269
