Name,Configs,Components,Time
up,5,3,23.83755898475647
up,5,5,21.30891728401184
up,5,10,25.620443105697632
up,5,20,24.512905836105347
up,10,3,22.84002709388733
up,25,3,20.792929649353027
up,50,3,23.882487535476685
up,100,3,21.824395656585693
